class,subclass,mag_u,mag_g,mag_r,mag_i,mag_z,redshift,flux_u,flux_g,flux_r,flux_i,flux_z,photRA,specRA,photDec,specDec,petrosianRadius_u,deVEffectiveRadius_u,petrosianRadius_z,deVEffectiveRadius_z
GALAXY,STARFORMING,19.96108,18.25254,17.44656,17.04729,16.81184,0.1370977,4.852257,12.05629,27.16767,40.02827,52.55524,205.0980273,205.09804,9.414294524,9.4142968,6.271105,10.02684,5.229532,3.344348
GALAXY,STARBURST,18.69706,17.94226,17.73517,17.40773,17.42304,0.07163194,15.13864,23.67625,28.40826,38.90246,40.62547,205.1426216,205.14264,9.513835393,9.513794,6.918853,6.599873,12.01379,6.655511
QSO,BROADLINE,19.25479,18.9971,18.79082,18.79543,18.17451,0.3531286,18.12656,20.0119,26.49533,27.27404,56.41565,150.5659797,150.56599,-0.182255719,-0.18226843,1.374487,0.1080796,1.255989,0.1367845
GALAXY,STARBURST,17.80942,16.91912,16.53034,16.2816,16.08997,0.03270039,65.72632,90.41548,136.9105,178.676,212.8797,150.6200663,150.62006,0.33323641,0.33323868,2.4709,1.31186,2.802226,1.902694
GALAXY,STARFORMING,19.25974,18.00986,17.53096,17.23808,17.08458,0.04552755,4.661959,9.067954,14.55841,19.55923,23.23119,150.7031613,150.70317,0.635626057,0.63562404,7.179907,19.10563,7.370438,15.29519
QSO,AGN BROADLINE,19.84017,19.2965,19.2238,18.9104,18.72105,0.5267097,1.432913,1.406887,3.198794,7.519684,10.94147,10.9138764,10.91387,13.74348473,13.7435,1.553148,0.1073754,2.61687,0.4924319
QSO,BROADLINE,20.26386,19.5317,19.27065,19.16771,19.0217,2.642579,7.178097,12.56418,16.848,19.53862,25.20514,10.92584636,10.925846,13.77951626,13.779516,1.5982,0.07861959,1.465956,0.215535
QSO,BROADLINE,22.32163,21.35993,21.35894,21.331,21.22827,2.366779,1.311738,2.067847,1.918697,1.969985,2.769105,11.04790832,11.047908,13.68884963,13.688849,7.359264,1.095296,1.044272,0.1520691
QSO,BROADLINE,21.37253,21.03706,20.7681,20.69146,19.96706,0.8613353,5.860128,5.359245,5.527039,5.440412,7.540118,10.83132638,10.831326,14.53373375,14.533734,1.095971,0.000224787,1.370814,0.4795614
QSO,BROADLINE,21.33619,20.93989,20.63755,20.26793,19.87381,2.111246,8.732847,7.021891,8.518213,9.798199,12.86155,11.16033071,11.160331,14.66001287,14.660013,3.520465,0.1894812,2.978846,0.1220905
GALAXY,STARFORMING,19.202,17.0412,16.20806,15.75644,15.40832,0.04141956,12.05332,20.80147,46.72894,72.46639,99.62119,158.2859658,158.28601,3.129177323,3.1291296,2.968904,19.11234,11.46548,19.30496
GALAXY,STARFORMING,18.79298,17.33924,16.62981,16.21258,15.91751,0.08627754,5.600767,17.32501,38.94967,62.02273,82.43383,150.4634116,150.46339,-0.681253956,-0.68125326,9.613895,23.82717,7.178236,12.32434
GALAXY,STARFORMING,21.50699,20.72379,20.60309,20.99381,20.81475,0.0654925,11.04412,21.02839,33.33582,47.43542,55.74354,149.9156857,149.91583,0.587473104,0.5873293,1.181069,0.1520731,1.032839,0.000150415
GALAXY,STARFORMING,17.96699,16.3732,15.64206,15.28205,15.01628,0.04419884,44.26525,113.1601,225.6739,325.4403,415.3523,150.5939292,150.59395,0.558611024,0.55864539,19.94484,2.229468,6.175883,2.059964
GALAXY,STARFORMING,19.11085,17.98278,17.67966,17.13934,16.93587,0.08690577,6.422772,13.60347,24.60831,34.3049,39.73444,339.3934244,339.39338,14.3223656,14.322265,7.570488,18.65245,6.350125,8.883959
GALAXY,STARBURST,19.06078,18.0896,17.58877,17.25104,17.0544,0.1164818,10.52641,19.79362,33.99933,51.01217,58.65247,339.4530725,339.45308,14.35528323,14.355288,4.937373,5.343079,4.542195,3.5734
GALAXY,STARFORMING,19.16708,17.63088,16.77503,16.32327,15.99779,0.08633361,10.6794,28.04088,66.08857,106.3427,139.8742,339.4521831,339.45219,14.38274841,14.382754,6.542425,8.630217,5.474085,5.258878
GALAXY,STARFORMING,18.51696,17.07081,16.31705,15.9046,15.57092,0.03598876,11.0005,27.00216,56.55508,85.245,113.3815,339.5441507,339.54414,14.44058876,14.440592,8.420858,16.07517,8.262316,15.16076
GALAXY,STARFORMING,19.04082,17.86025,17.22284,16.83089,16.55333,0.08635402,10.36901,24.28276,48.4044,72.18536,89.86142,339.651065,339.65106,14.32541137,14.32541,5.760055,6.801603,4.052672,4.081392
QSO,BROADLINE,21.10365,20.86513,20.77561,20.22303,20.26281,1.866691,1.241558,4.431346,5.017474,6.254061,5.729242,125.4354438,125.43544,44.49993223,44.499932,2.161171,0.4911157,1.268624,0.1521506
QSO,BROADLINE,22.00659,21.92604,21.73823,21.67748,21.19005,2.021709,-0.1195398,0.8434672,1.125041,1.242392,1.436047,125.5989355,125.59894,44.64172851,44.641729,1.949089,0.4601618,2.969976,0.3663267
QSO,BROADLINE,21.46825,20.42682,20.29352,20.14145,19.83323,2.300585,0.9484597,4.176671,5.475561,5.626569,7.096851,125.1242914,125.12426,44.78531516,44.785302,11.3059,0.7530686,1.116151,0.005323419
QSO,BROADLINE,20.54824,20.28004,20.25288,20.03827,19.87196,1.66831,5.121058,5.588999,5.728333,7.34867,8.164167,10.95777018,10.95777,13.89053666,13.890537,1.871795,0.255203,1.105068,0.1559431
QSO,BROADLINE,21.40864,20.92848,20.41879,20.48223,20.23852,1.061811,3.072978,3.520793,5.759833,4.602353,5.47559,11.01691004,11.01691,14.46426768,14.464268,1.450207,0.04755995,2.221442,0.4043877
QSO,BROADLINE,22.19998,21.51686,21.22688,21.10705,20.75537,2.303749,1.955957,2.32366,2.473746,2.750069,3.672961,11.10665794,11.106656,14.35915606,14.359157,1.80585,1.296605,1.532578,0.245544
QSO,BROADLINE,22.12984,21.75589,21.79052,21.46996,21.28539,2.153458,5.349345,4.346573,4.415012,4.975923,6.647012,11.16810811,11.168107,14.37494933,14.374949,1.535243,0.05621833,1.685862,1.393354
QSO,BROADLINE,21.64434,21.05782,20.92323,20.8036,20.31461,2.112123,1.471995,1.638199,2.000672,1.919054,2.475167,122.5072488,122.50724,40.03438583,40.034383,2.67595,0.2029713,1.985808,0.2584781
QSO,BROADLINE,20.75973,20.75206,20.40229,20.30353,20.29074,1.342399,4.883165,7.90947,11.00403,10.71279,9.891268,125.5138652,125.51387,44.04836077,44.048361,1.45583,0.2043138,3.527225,0.3455417
QSO,BROADLINE,21.81326,21.37715,21.01422,20.83867,20.4173,0.9785401,2.811037,5.60357,7.497669,6.844979,7.426304,125.5106275,125.51063,44.07133192,44.071332,1.503616,0.1221178,43.76927,0.7228229
QSO,BROADLINE,21.1863,20.93274,20.66957,20.39202,20.43059,1.526806,2.791134,4.305728,4.743896,5.180595,4.527867,125.5382021,125.5382,44.16997812,44.169978,1.684284,0.04958306,2.065084,1.21616
QSO,BROADLINE,21.36095,21.18708,21.08346,20.80773,20.70832,2.077963,2.73787,2.974534,3.325123,3.870936,4.447734,125.5843491,125.58435,44.2767463,44.276746,1.857873,0.1044443,1.34081,0.000152031
QSO,BROADLINE,20.87788,21.00652,20.39359,20.3699,20.69589,1.233027,5.12224,7.788647,11.91857,11.08669,9.480979,125.6306207,125.63062,44.31930585,44.319306,1.674189,0.1894829,1.086932,0.2737864
QSO,BROADLINE,20.07252,19.88174,19.85386,19.55884,19.48352,1.801987,1.902475,4.694932,4.970263,6.472806,5.82484,125.6551584,125.65516,44.75940432,44.759404,1.565306,0.09690055,0.9890429,0.09942237
QSO,BROADLINE,22.00167,21.16527,21.25319,21.03671,20.81924,2.304862,0.9137815,2.667664,2.285257,2.201757,3.111348,125.4907368,125.49074,44.91436155,44.914366,1.725843,0.5855775,7.358646,3.802001
GALAXY,STARFORMING,18.96448,17.47055,16.65151,16.19461,15.83429,0.07575832,7.877976,17.72592,43.70906,71.67088,96.66457,157.5048598,157.50486,3.801778232,3.8017775,12.29543,20.37305,7.881007,10.92079
GALAXY,STARFORMING,19.34205,18.08779,17.58285,17.30777,17.05865,0.02940927,11.05766,15.84045,25.15001,33.35441,39.59137,157.6090511,157.60906,3.739693853,3.7396888,4.954442,7.226786,5.420666,9.892065
GALAXY,STARFORMING,19.38128,18.04785,17.21119,16.79904,16.48237,0.1150286,9.254983,22.10855,49.57423,75.15587,95.22141,157.5565769,157.55659,3.805308994,3.8053033,4.211825,2.269964,5.076828,2.607973
GALAXY,STARFORMING,19.63871,18.1877,17.53109,17.15886,16.86634,0.06799473,9.697852,21.54221,41.27562,60.94862,72.49455,157.5890876,157.5891,3.683477872,3.6834781,4.733925,2.945034,5.053837,5.145519
GALAXY,STARFORMING,18.85173,17.66675,17.32485,17.05442,16.86402,0.04555022,7.413242,12.39171,18.68001,23.72164,27.13577,157.5613761,157.5614,3.667010335,3.6670155,10.36352,19.19737,27.92285,15.17908
QSO,BROADLINE,19.24126,19.00033,18.65749,18.51598,18.54784,1.425296,26.00663,24.65584,31.57297,35.88947,34.70578,157.4875336,157.48754,4.172268809,4.1722626,1.439229,0.003832466,1.400841,0.1008746
GALAXY,STARFORMING,17.52815,15.88133,15.06444,14.60674,14.28336,0.06589774,28.743,66.68885,148.4922,228.4814,295.6386,157.522336,157.52235,4.062748956,4.0627393,8.60215,4.661666,10.48173,7.65814
GALAXY,STARFORMING,18.69453,17.42192,16.70577,16.24227,15.93441,0.06426534,19.95853,44.59539,90.48868,139.4073,170.7123,157.5551933,157.5552,4.052208596,4.0521971,3.118889,2.087126,3.404479,1.739518
QSO,BROADLINE,21.97989,22.0465,22.11964,21.83485,21.41296,2.06172,4.912582,0.7759945,0.6613259,0.918591,1.23979,136.1215616,136.12156,44.46540429,44.465404,2.51688,0.5201169,0.7243043,0.0086689
QSO,BROADLINE,22.05599,20.90269,20.60389,20.55343,20.84012,3.009649,2.701519,4.648316,6.763034,7.122198,5.780266,136.1663528,136.16635,44.49475319,44.494753,5.720851,7.04116,3.523943,0.2600587
QSO,BROADLINE,21.09475,20.21005,19.54008,19.15244,19.04919,1.568794,8.774696,8.261051,19.50818,30.92889,37.0351,136.364264,136.36426,44.65689969,44.6569,4.100684,0.7072542,1.708113,0.131234
QSO,BROADLINE,20.95704,20.96667,20.86279,20.82828,20.65477,1.106981,5.742064,4.853462,6.635796,6.451504,6.104286,136.3210306,136.32103,44.57595501,44.575955,1.887807,0.5526586,1.422104,0.3587067
QSO,BROADLINE,20.8257,20.82028,20.49125,20.4709,20.72501,1.380838,0.8981176,3.516002,5.567195,5.962917,6.185123,136.406228,136.40623,44.58394653,44.583947,2.432516,0.3267739,1.637498,0.2482736
QSO,BROADLINE,21.52036,21.21528,21.40129,21.17563,21.30864,2.161022,4.156674,4.245623,4.797822,4.889713,6.146766,136.5646448,136.56464,44.55789162,44.557892,2.738899,0.01368142,1.325188,0.2615324
QSO,BROADLINE,20.98317,20.76011,20.58646,20.44657,20.15845,1.86481,1.663799,2.705239,4.03852,5.856823,7.083555,136.599391,136.59939,44.58156198,44.581562,2.147945,0.399406,1.832509,0.4526656
QSO,BROADLINE,20.34224,20.09908,20.008,19.87167,19.78514,1.64837,0.3921613,4.860972,5.621079,7.467238,6.593578,136.5969803,136.59698,44.60570329,44.605703,1.970701,0.2670936,1.431674,0.07866728
QSO,BROADLINE,21.8497,21.81395,21.43964,21.3433,21.38076,1.52216,1.556648,2.26817,2.967319,3.849716,3.580503,136.5039056,136.50391,44.70871523,44.708715,2.84383,0.2453116,1.234965,0.001733333
QSO,BROADLINE,20.8636,20.35056,20.15462,20.10525,19.65961,2.299134,2.879355,9.000708,10.34002,12.16802,17.53647,136.5709341,136.57093,44.79076894,44.790752,1.660848,0.3348048,2.853392,0.1934185
QSO,BROADLINE,22.34958,21.69833,21.62885,21.80001,20.38635,0.885816,-0.8751187,4.072393,6.308605,6.901145,9.647944,136.7037126,136.70371,44.6608872,44.660887,2.309059,0.2361849,1.668632,0.2940567
GALAXY,STARBURST,21.40833,21.63947,20.70613,20.48804,20.09499,0.3615561,2.562817,2.992637,5.091685,6.264271,8.64709,136.6644263,136.66443,44.85853729,44.858537,1.967324,0.7973993,1.529965,0.3661081
QSO,BROADLINE,20.50182,20.45704,20.28383,20.06631,19.95947,1.305606,2.7539,4.774995,7.568444,8.434554,8.777745,135.9724324,135.97243,44.81845085,44.818451,2.074348,0.2940479,2.480387,0.5696707
QSO,BROADLINE,20.94274,20.83226,20.71801,20.48228,20.31879,0.8361068,5.111603,5.903781,7.189219,7.859488,9.105754,135.9421906,135.94219,44.8695056,44.869506,1.421482,0.0116028,3.362864,0.3181474
QSO,BROADLINE,20.58064,20.31995,20.43499,20.10671,20.18364,1.616584,8.687635,11.20714,11.05163,12.51111,11.82424,136.0524918,136.05249,44.79305906,44.793059,2.040159,0.1517684,2.98819,0.02400432
GALAXY,STARFORMING,19.42808,18.11858,17.50177,17.14754,16.9316,0.09034315,6.188546,13.64308,26.26758,37.80959,46.03773,133.4720136,133.47202,38.03426412,38.034271,6.942576,10.52664,4.650004,7.78062
GALAXY,STARFORMING,18.97604,17.70701,17.16874,16.79535,16.58356,0.08283488,12.66961,30.41489,56.23824,81.15388,97.69068,133.5235187,133.52353,38.25299013,38.253004,4.072155,6.185301,3.488958,3.321165
GALAXY,STARFORMING,19.99401,18.20049,17.09223,16.60649,16.24408,0.1664328,8.067964,22.30566,65.19179,102.6243,137.6953,133.7355851,133.7356,38.17275218,38.172763,27.92237,5.678089,3.573535,1.59922
GALAXY,STARFORMING,19.97677,18.49186,17.61888,17.15034,16.80324,0.1221632,4.144711,14.43901,35.15894,55.4268,75.17488,133.65493,133.65494,38.76712905,38.767131,3.598169,6.375116,3.707571,4.510823
GALAXY,STARFORMING,18.70262,17.23582,16.43449,16.00963,15.67841,0.1107343,9.513761,31.03363,68.06811,104.5641,136.1498,132.8711564,132.87117,38.81300294,38.812984,6.264576,7.66434,5.550875,4.05888
GALAXY,STARFORMING,17.27367,15.77773,15.12101,14.77248,14.4918,0.02893534,28.88149,63.65356,112.8575,153.4036,189.9152,133.3116786,133.31168,39.17287992,39.172874,14.39338,4.29321,14.81388,9.128124
GALAXY,STARFORMING BROADLINE,19.99517,18.50445,17.61315,17.10822,16.81445,0.1451549,7.704384,19.17391,44.65017,73.73052,96.74879,133.352801,133.3528,39.17751503,39.177507,11.20057,4.206684,3.589438,3.298599
QSO,BROADLINE,19.45184,19.14807,19.03123,19.01772,18.92043,0.8793838,18.03231,21.13935,25.05598,25.77069,29.61728,133.6389373,133.63895,39.26960121,39.269592,1.154709,0.03555082,0.9463484,0.1345631
GALAXY,STARFORMING,20.16859,18.18195,17.34922,16.94871,16.61082,0.1306052,8.759686,23.13073,52.45748,79.13673,103.2441,132.9803912,132.98038,39.39505746,39.395067,4.035073,4.340533,3.828933,3.411049
GALAXY,STARFORMING,18.75879,17.67488,16.99097,16.61413,16.39427,0.1618332,9.073668,17.80652,36.93659,54.60157,68.92744,132.9432013,132.94319,39.45098359,39.451004,7.075131,7.389879,5.918196,3.6976
GALAXY,STARBURST,19.72873,18.4549,17.77753,17.35891,17.12967,0.122038,10.6371,19.89971,37.79258,57.70195,70.82224,133.0774624,133.07746,39.38798241,39.387987,4.465294,4.00381,3.269099,3.303637
GALAXY,STARFORMING,19.16398,17.64301,16.82034,16.36033,16.03251,0.1259706,6.899273,17.77709,44.32912,69.57156,94.44054,133.8815756,133.88157,39.94157781,39.941575,8.355394,19.36321,6.097292,9.252825
GALAXY,STARFORMING,19.51243,18.34967,17.8754,17.57125,17.41056,0.08742915,9.239044,18.43049,28.51265,37.21926,43.84505,134.07298,134.07299,40.05115209,40.051146,4.077198,6.764809,3.960098,5.924363
GALAXY,STARFORMING,19.53881,18.02455,17.20643,16.82277,16.45999,0.1294779,6.145773,15.50871,37.86634,57.57496,77.32728,134.3955594,134.39556,40.21827785,40.218283,6.182232,18.3486,5.114109,6.373672
QSO,BROADLINE,18.3167,18.31047,18.26986,17.92002,17.9055,1.864922,33.73841,40.99449,46.40569,65.13689,65.93243,132.1321816,132.13219,39.38341146,39.383421,1.230657,0.106443,1.117691,0.001150424
GALAXY,AGN BROADLINE,17.34706,15.87576,15.11402,14.68299,14.36221,0.05065902,61.33937,153.0127,308.8966,473.2047,588.4957,132.1416695,132.14167,39.45208048,39.45209,6.169592,1.959,96.84492,3.428239
GALAXY,STARFORMING,19.09792,18.13647,17.81913,17.68201,17.65637,0.03029181,5.200288,8.790895,12.44057,14.88604,15.61882,132.1598516,132.15985,39.38257658,39.38259,8.180112,18.797,6.311913,9.890574
GALAXY,STARFORMING,18.318,17.18806,16.65234,16.304,16.14601,0.1262726,16.78386,33.57057,59.61591,83.66412,98.2924,132.4034282,132.40345,39.46740994,39.467416,5.441989,6.8966,6.427046,5.542102
QSO,BROADLINE,19.09651,18.96234,18.693,18.69095,18.79775,1.157334,20.33067,21.59016,29.48005,29.6694,27.72455,132.5871271,132.58714,39.66256097,39.662565,1.377287,0.09066999,1.168032,0.09510427
GALAXY,STARFORMING,19.75656,18.46788,17.73714,17.36485,17.10747,0.08301057,8.489598,17.38233,34.65053,49.80701,60.60638,132.4762835,132.4763,39.67276016,39.672761,5.835482,6.016941,3.920932,3.204041
GALAXY,STARFORMING,19.62834,18.51925,17.81029,17.38844,17.14452,0.1247724,8.480707,19.3926,39.24061,59.33088,75.37423,132.8606312,132.86065,39.76628903,39.766296,3.550362,5.258261,3.093984,2.792702
GALAXY,STARFORMING,19.86397,18.50259,17.35436,16.82003,16.46022,0.2267154,4.516309,10.01588,29.93663,50.37948,68.11636,132.8204897,132.82051,39.75916622,39.759174,4.839756,7.28559,4.879162,3.440335
QSO,STARBURST BROADLINE,17.61094,16.83379,16.15233,15.68356,15.42391,0.1244632,36.01884,43.70933,80.28664,129.6767,153.6357,132.8737965,132.87383,39.81357918,39.813589,6.392664,1.044215,7.044352,4.506211
GALAXY,STARFORMING,19.2063,17.97811,17.26776,16.85152,16.56735,0.1251471,11.59056,24.11218,49.93287,73.59747,92.62645,132.9859114,132.98594,39.81448414,39.814486,10.50028,7.574242,3.816054,3.624404
GALAXY,STARFORMING,18.45622,16.9774,16.21445,15.78597,15.51645,0.0549367,18.27691,47.55175,99.6619,152.5203,189.1252,133.0971664,133.09716,40.06465845,40.064671,5.337665,6.699393,5.68453,6.334412
GALAXY,STARFORMING,19.99144,21.10737,20.32584,19.56005,20.93578,0.02930659,9.565885,11.99183,18.89536,25.01392,31.48977,150.2534215,150.25342,34.06326654,34.063267,5.354747,11.6169,3.364664,2.116435
QSO,BROADLINE,19.83448,19.5668,19.07777,19.04246,18.90472,0.9924108,13.88198,14.43845,22.67336,23.15789,27.08905,142.7640136,142.76402,31.83142898,31.831428,1.635899,0.1112214,4.280272,0.1089741
QSO,BROADLINE,20.42036,19.83094,20.04338,19.9698,19.77088,2.364782,5.399569,8.924895,7.555074,8.257767,11.30973,149.0052654,149.00527,33.99751158,33.997512,2.307482,0.3060181,3.079108,0.9206294
QSO,BROADLINE,22.67506,21.67792,20.8576,20.14309,19.88946,0.6040523,1.425829,2.655447,5.144226,9.060168,11.80228,149.0309532,149.03095,34.08627447,34.086274,27.92715,29.67847,18.01812,0.7365607
QSO,BROADLINE,21.85454,21.34285,21.0567,20.66059,20.11268,0.7066172,1.835649,2.506806,3.200486,4.830428,7.262475,149.2129895,149.21299,34.23443698,34.234437,1.704376,0.3663926,1.009312,0.000753654
QSO,BROADLINE,18.90194,18.2616,18.03566,17.99411,17.78067,2.415479,18.06841,32.54318,43.65574,45.71646,55.69978,133.3778985,133.3779,25.7138964,25.713895,1.213855,0.02196554,0.9793959,0.05307199
QSO,BROADLINE,21.38704,20.59536,20.39795,20.23521,19.7935,2.424508,3.06281,5.793283,6.529889,7.051684,9.404382,133.4285482,133.42855,25.70268422,25.702685,3.26604,0.1940774,0.89198,0.07751735
QSO,BROADLINE,22.89843,21.38099,21.28395,21.15886,21.23935,2.896969,0.9085404,2.60621,3.175873,2.973411,3.18293,133.489431,133.48943,25.75313474,25.753139,1.193159,29.66837,0.7383286,0.1114499
QSO,BROADLINE,22.05364,21.44302,21.66412,21.48203,21.0078,2.3198,0.9938316,2.176689,1.847782,2.121641,2.554698,133.265823,133.26582,26.0648713,26.064872,1.8353,0.1518961,7.358749,0.9839252
QSO,BROADLINE,21.94151,21.4576,21.43581,21.51354,21.2323,2.399229,2.73665,3.94506,3.2956,3.124718,3.778976,133.2165894,133.2166,26.52997889,26.529969,2.431134,1.474052,1.601722,0.9630759
QSO,BROADLINE,21.73561,21.34934,21.31497,21.20771,20.99845,0.8818402,3.277872,3.158618,3.119126,2.960324,3.951253,133.5007599,133.50076,26.58206732,26.582069,1.892423,0.1003943,1.735676,0.8777993
QSO,BROADLINE,22.39517,21.78056,21.83916,21.60004,21.42434,2.190667,0.1547431,1.36316,1.245322,1.371361,1.670057,133.4624346,133.46243,26.57771876,26.577719,1.52117,18.73995,1.490874,0.7088217
QSO,BROADLINE,21.42231,21.28163,21.29182,21.3149,20.89506,2.090173,2.115714,1.934512,2.091261,2.521835,3.553331,141.8104641,141.81046,33.26234818,33.262348,1.136703,0.000318672,1.119671,0.2940452
QSO,BROADLINE,20.0962,19.89638,19.4385,19.33981,19.37576,1.342818,8.073549,6.974885,11.53385,13.17092,14.83042,142.0251074,142.02511,33.32933984,33.32934,1.38295,0.1319074,1.026588,0.1738685
QSO,BROADLINE,21.5483,21.35875,21.38301,21.21124,21.26602,2.104745,2.913769,2.014303,2.036367,2.213512,3.077189,142.054824,142.05482,33.2830499,33.28305,1.341963,0.2180106,1.146786,0.03412224
QSO,BROADLINE,22.16432,21.4425,21.41962,21.44985,21.08468,2.523444,2.264151,1.910637,2.255957,2.214972,2.8358,141.2896878,141.28969,33.87876618,33.878766,1.699811,1.042781,1.741485,0.8106179
QSO,BROADLINE,22.09815,22.00726,21.86543,21.53285,21.6402,1.562402,1.327353,1.498576,1.605831,2.186923,2.211977,141.4148095,141.41481,33.83548541,33.835485,27.92081,1.641879,1.079026,0.2940598
QSO,BROADLINE,21.41267,21.51422,21.45376,21.03386,20.55322,1.893802,2.348279,2.675273,2.846373,3.881346,4.606526,141.6154687,141.61547,33.65439896,33.654399,1.986573,0.4750927,1.062155,0.221567
QSO,BROADLINE,20.33344,20.26341,19.99421,19.98877,20.20192,1.398691,15.96636,13.5904,16.52359,17.10375,17.15078,141.7519832,141.75198,33.60424545,33.604245,1.782313,0.2689078,1.036001,0.000102357
QSO,BROADLINE,21.70546,21.43204,21.35149,20.83728,20.56809,1.814021,3.877268,4.918229,5.594078,7.335628,8.146275,141.823663,141.82366,33.68046738,33.680467,2.520675,6.75913E-05,1.06716,0.4369091
QSO,BROADLINE,21.43914,21.50536,21.33718,21.09181,20.79362,2.035004,9.045697,7.258373,7.54843,7.491959,8.957964,141.8681663,141.86817,33.73544266,33.735443,1.401579,0.1629611,0.9113209,0.8424222
QSO,BROADLINE,21.46746,21.21042,20.80239,20.75502,20.49305,1.012875,1.816021,2.877436,4.587927,5.179757,6.165027,141.8628648,141.86286,33.70047569,33.700476,3.915225,0.8684275,2.969676,1.092173
QSO,BROADLINE,22.6405,22.05433,21.92614,21.84231,21.20761,2.433583,1.638355,1.659018,1.844759,2.000869,2.874464,141.9301704,141.93017,33.58939908,33.589399,2.514611,0.7800016,2.460187,0.5333796
QSO,BROADLINE,21.14784,20.93622,20.8866,20.63366,20.3218,1.970741,5.582269,4.895334,5.671608,7.038631,9.054179,142.0565835,142.05658,33.62641954,33.62642,1.132066,0.000469277,1.153674,0.2087827
GALAXY,STARBURST,21.85049,21.51005,20.97098,20.6884,20.7213,0.5188309,3.604942,4.050949,6.736645,9.062246,11.06774,142.1279876,142.12799,33.67957683,33.679577,2.089355,0.328561,0.9960019,0.1520983
QSO,STARBURST BROADLINE,21.1792,20.40698,19.76982,19.42791,19.03535,0.4021103,2.616443,4.810043,9.025235,12.53391,18.09618,141.6729754,141.67298,34.20185059,34.201851,1.024848,0.000338933,1.242412,0.1102325
QSO,BROADLINE,22.09699,21.29309,21.02625,20.98759,20.50696,2.227699,2.768293,3.15222,3.714203,4.01431,5.327435,141.6406122,141.64061,34.13682206,34.136823,4.584172,0.000151441,0.9748339,0.2038703
QSO,BROADLINE,21.70687,21.74025,21.79701,21.52463,21.12607,1.933751,1.465209,1.618897,1.435202,2.012679,2.148157,141.6789648,141.67896,34.11900613,34.119006,2.624717,0.4947142,1.257208,0.4563054
QSO,BROADLINE,22.36347,21.6229,21.54707,21.35351,21.0662,2.190987,4.508501,4.349075,4.608,4.530106,5.951834,141.6989628,141.69896,34.13097015,34.13097,1.71677,0.000184991,1.21809,0.294336
QSO,BROADLINE,21.73209,21.59492,21.35109,21.38656,21.21501,1.383062,2.855949,2.281294,2.865731,3.063602,3.49255,141.7154049,141.7154,34.069374,34.069374,2.830475,0.6516415,1.974601,0.5685453
QSO,BROADLINE,22.26268,21.3957,21.14499,20.88123,20.66586,2.299938,2.115336,4.253838,4.932137,5.286341,7.477208,141.9733037,141.9733,34.06284103,34.062841,0.9555542,0.008775809,1.134137,0.3294248
QSO,BROADLINE,20.73049,20.27176,19.7417,19.765,19.88915,1.355936,5.445569,7.209162,12.35687,12.91848,13.25249,148.9980203,148.99802,33.12203782,33.122038,1.321106,0.1066326,1.231585,0.09802559
GALAXY,STARBURST,20.06988,19.21453,19.44464,18.79833,19.16311,0.06784891,6.734201,11.61405,9.072912,15.7138,11.32132,232.0189516,232.01895,25.46645791,25.466459,2.099572,0.6924565,1.99222,1.098855
QSO,BROADLINE,21.19835,19.91464,19.86793,19.85341,19.88468,2.87419,5.757779,9.210001,9.432024,9.431892,9.796377,232.2525671,232.25255,25.40921339,25.409213,1.603719,0.1895525,2.105191,0.3958042
QSO,BROADLINE,21.40845,20.64418,20.1696,19.88822,19.4908,2.592462,3.728309,4.808529,7.388106,9.855073,15.32189,232.1669346,232.16693,25.33129479,25.331291,1.94786,0.543525,1.406431,0.2807131
QSO,BROADLINE,20.5618,19.99062,19.72626,19.41811,19.34505,1.622197,5.038496,7.88249,10.68644,14.60093,17.53163,232.2196386,232.21964,25.25027094,25.250271,3.042562,0.190015,1.271333,0.04964565
QSO,BROADLINE,21.46716,20.88519,20.68106,20.58545,20.23496,2.168475,5.040052,5.130072,6.192899,7.387941,9.931101,232.308638,232.30864,25.2789323,25.278933,11.30562,1.221571,1.35593,0.1610976
QSO,BROADLINE,21.8203,21.15299,20.99457,20.96435,20.87096,2.475928,1.209167,2.194275,2.467619,2.449243,2.926485,232.4125536,232.41256,25.34361751,25.343619,1.75635,0.7248023,0.959381,0.3669578
QSO,BROADLINE,22.55128,21.95814,21.92524,21.73073,21.17839,2.594488,1.518923,2.352998,2.599634,2.795386,3.692827,232.208517,232.20852,25.01973024,25.01972,2.602951,0.4733447,1.452219,1.438878
QSO,BROADLINE,20.47144,19.80218,19.8218,19.75446,19.50895,2.333247,6.977855,11.77918,12.04939,13.46949,17.29987,232.2940793,232.29408,25.05163624,25.051646,1.201206,0.001572638,1.134497,0.1381702
GALAXY,STARFORMING,19.74162,18.14826,17.37011,16.98031,16.70778,0.09880184,4.5423,12.99621,29.35182,43.91267,56.41735,216.160616,216.16062,10.99217496,10.992177,7.517241,11.79943,4.542879,6.680337
GALAXY,STARFORMING,19.24242,18.24754,17.74151,17.40393,17.23918,0.09990573,14.53143,28.89333,46.1649,64.45377,71.39377,216.3487998,216.3488,10.9468185,10.946824,3.003202,2.03116,2.944204,2.50504
GALAXY,STARFORMING,19.34216,18.15178,17.64891,17.41592,17.15803,0.02545694,4.046185,9.241874,15.08929,20.00866,23.24108,216.3881649,216.38816,11.1108114,11.110818,9.012601,25.89317,11.94067,16.92697
