u,g,r,i,z,class,subclass
18.55974,18.33226,18.60353,18.86215,19.23529,STAR,WD
19.69703,19.28406,19.53116,19.75312,19.97674,STAR,WD
18.08009,18.35182,18.80361,19.1048,19.47087,STAR,WD
20.01348,19.99434,20.35266,20.74681,21.04468,STAR,WD
19.03718,18.966,19.29342,19.52839,19.91718,STAR,WD
20.08716,20.39332,20.93398,21.33691,21.44023,STAR,B9
22.68864,20.24041,18.83504,18.44515,18.22282,STAR,Carbon_lines
19.35641,19.03735,19.10487,19.24083,19.4179,STAR,WD
19.18736,19.47467,19.99665,20.28014,21.24933,STAR,WD
19.11083,18.68358,18.75468,18.91269,19.16969,STAR,WD
18.9849,18.86579,19.23501,19.514,19.92481,STAR,WD
17.27358,16.00504,15.55524,15.39301,15.3581,STAR,F9
19.70317,19.2582,19.44734,19.69653,19.86043,STAR,WD
17.82929,17.49725,17.74721,17.9901,18.25017,STAR,WD
19.35151,19.41502,19.66505,19.88166,20.13269,STAR,OB
15.24236,15.54218,16.06063,16.41105,16.74088,STAR,B6
17.54042,17.46303,17.81346,18.09007,18.47354,STAR,WD
18.07128,18.31931,18.74475,19.04699,19.32495,STAR,OB
19.01837,19.33375,19.83534,20.15165,20.398,STAR,WD
19.63963,19.24536,19.43295,19.67172,19.87579,STAR,WD
19.41557,19.07044,19.33172,19.59921,19.69993,STAR,WD
15.16674,15.43652,15.91773,16.26102,16.59169,STAR,B9
22.30588,20.10066,19.05033,18.66049,18.45774,STAR,K5
19.34612,19.32901,19.77316,20.0195,20.57341,STAR,WD
18.10207,17.63919,17.83799,18.03548,18.26761,STAR,WD
18.90165,18.81886,19.18165,19.52816,19.80678,STAR,WD
18.90833,18.53901,18.78204,18.97077,19.1832,STAR,WD
19.90911,18.89962,18.59954,18.49617,18.56931,STAR,F5
19.50559,18.64281,18.37437,18.28385,18.32661,STAR,F5
17.35259,17.4707,17.85641,18.1581,18.38609,STAR,A0
18.17095,17.79397,18.07936,18.32463,18.60636,STAR,WD
19.00768,19.3499,19.75723,20.08116,20.57455,STAR,WD
19.34023,19.20757,19.56138,19.85467,20.0805,STAR,WD
17.04767,17.10173,17.50534,17.73433,17.95564,STAR,A0p
19.61526,19.59818,19.9747,20.31066,20.92213,STAR,WD
