spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
68.89835,85.8344,73.491,62.6371,54.50772,STAR,WD
38.45157,32.88633,22.93938,18.20289,14.96032,STAR,B6
17.46575,20.84538,19.08962,16.23237,13.61587,STAR,WD
19.68309,24.05721,29.78198,31.43182,33.1829,STAR,B9
38.16264,44.2123,33.85265,27.18901,21.92206,STAR,WD
1.994915,4.16253,5.141574,5.024859,3.78283,STAR,WD
0.5900573,3.835833,13.63138,21.34288,26.83194,STAR,Carbon
3.296966,23.32306,60.16576,85.0794,103.1975,STAR,K3
108.4753,247.7606,398.959,483.2162,538.0434,STAR,F9
12.68058,19.01349,18.83912,17.79595,17.87108,STAR,WD
13.43351,18.86402,17.21008,14.63196,13.40779,STAR,WD
3.665672,3.990444,4.011114,3.592241,3.230723,STAR,WD
3.546468,3.077512,3.041544,2.963895,2.004552,STAR,WD
9.656144,12.70047,10.29195,8.098733,6.712937,STAR,WD
64.8098,53.07481,36.26706,27.96409,22.14578,STAR,OB
16.34769,23.5797,20.16931,16.81181,13.96482,STAR,WD
26.90472,32.65791,25.00554,19.76246,15.97948,STAR,WD
12.18788,12.95653,10.29395,8.035459,6.739318,STAR,A0p
75.14723,128.0896,204.493,249.1072,269.4737,STAR,F5
14.24266,13.91766,9.076345,6.195504,4.246964,STAR,WD
7.101659,9.724074,8.373781,7.446726,6.808082,STAR,WD
22.6449,25.92854,20.25619,15.93242,12.00264,STAR,WD
18.96781,13.17647,9.082913,6.502918,3.003531,STAR,O
47.66096,35.71951,23.5127,16.95853,13.07741,STAR,WD
13.76454,17.14921,13.94467,11.68954,8.608578,STAR,WD
10.8887,23.89342,24.09035,23.576,23.56852,STAR,G2
11.03121,15.17637,12.41521,10.03284,7.367771,STAR,WD
9.208649,7.799348,5.223681,3.437418,2.304525,STAR,OB
15.84267,17.6135,14.64772,12.09703,10.61949,STAR,WD
16.86693,17.59278,13.00287,9.800462,8.444068,STAR,WD
4.708243,5.756903,5.519681,4.360067,3.676623,STAR,WD
13.12092,15.24536,11.97197,9.407624,7.510008,STAR,WD
9.347531,13.7632,12.55842,10.54824,7.875527,STAR,WD
12.16976,16.15914,13.01972,10.46608,7.111351,STAR,WD
4.963,6.324056,5.233263,4.414927,3.855428,STAR,WD
15.2993,20.96374,18.98942,16.45897,12.64799,STAR,WD
5.173676,28.06593,73.31061,110.7218,138.0174,STAR,K5
71.65979,62.3831,43.93541,33.09258,27.08602,STAR,WD
13.77047,16.92365,15.57904,13.55776,12.33145,STAR,WD
18.1257,23.22791,20.52962,27.27667,39.7466,STAR,WD
